n_nodes,seed,case,src,dest,status,hop_count,shortest_hops,stretch,decision_agreement
250,0,A_reference,211,141,delivered,5,5,1.0,
250,0,A_reference,188,122,delivered,2,2,1.0,
250,0,A_reference,126,27,delivered,3,3,1.0,
250,0,A_reference,222,240,delivered,7,6,1.1666666666666667,
250,0,A_reference,104,31,delivered,5,4,1.25,
250,0,A_reference,145,81,delivered,2,2,1.0,
250,0,A_reference,76,39,delivered,2,2,1.0,
250,0,A_reference,132,157,delivered,5,4,1.25,
250,0,A_reference,209,171,delivered,5,4,1.25,
250,0,A_reference,136,186,delivered,2,2,1.0,
250,0,A_reference,61,238,delivered,6,5,1.2,
250,0,A_reference,102,249,delivered,5,4,1.25,
250,0,A_reference,192,135,delivered,4,4,1.0,
250,0,A_reference,161,120,delivered,3,3,1.0,
250,0,A_reference,197,141,delivered,4,4,1.0,
250,0,A_reference,205,43,delivered,5,5,1.0,
250,0,A_reference,21,25,delivered,2,2,1.0,
250,0,A_reference,123,28,delivered,3,3,1.0,
250,0,A_reference,242,103,delivered,5,5,1.0,
250,0,A_reference,116,141,delivered,6,4,1.5,
250,0,A_reference,105,246,delivered,5,4,1.25,
250,0,A_reference,168,77,delivered,4,3,1.3333333333333333,
250,0,A_reference,80,237,delivered,8,6,1.3333333333333333,
250,0,A_reference,226,222,delivered,6,5,1.2,
250,0,A_reference,23,30,delivered,4,3,1.3333333333333333,
250,0,A_reference,80,216,delivered,6,5,1.2,
250,0,A_reference,168,26,delivered,5,4,1.25,
250,0,A_reference,126,244,delivered,6,5,1.2,
250,0,A_reference,2,94,delivered,6,5,1.2,
250,0,A_reference,51,2,delivered,2,2,1.0,
250,0,A_reference,179,49,delivered,5,3,1.6666666666666667,
250,0,A_reference,4,229,delivered,8,6,1.3333333333333333,
250,0,A_reference,238,52,delivered,7,6,1.1666666666666667,
250,0,A_reference,99,227,delivered,4,4,1.0,
250,0,A_reference,186,145,delivered,5,4,1.25,
250,0,A_reference,47,174,delivered,4,4,1.0,
250,0,A_reference,111,177,delivered,8,6,1.3333333333333333,
250,0,A_reference,183,74,delivered,3,3,1.0,
250,0,A_reference,170,101,delivered,3,3,1.0,
250,0,A_reference,195,174,delivered,6,4,1.5,
250,0,A_reference,210,206,delivered,7,5,1.4,
250,0,A_reference,94,245,delivered,7,6,1.1666666666666667,
250,0,A_reference,90,158,delivered,3,3,1.0,
250,0,A_reference,81,29,delivered,7,5,1.4,
250,0,A_reference,139,118,delivered,3,3,1.0,
250,0,A_reference,123,45,delivered,3,3,1.0,
250,0,A_reference,222,21,delivered,8,6,1.3333333333333333,
250,0,A_reference,16,62,delivered,7,6,1.1666666666666667,
250,0,A_reference,145,169,delivered,4,3,1.3333333333333333,
250,0,A_reference,148,230,delivered,3,2,1.5,
250,0,A_reference,1,123,delivered,6,6,1.0,
250,0,A_reference,178,233,delivered,3,3,1.0,
250,0,A_reference,143,102,delivered,5,4,1.25,
250,0,A_reference,187,152,delivered,2,2,1.0,
250,0,A_reference,86,114,delivered,2,2,1.0,
250,0,A_reference,167,126,delivered,4,4,1.0,
250,0,A_reference,155,46,delivered,4,3,1.3333333333333333,
250,0,A_reference,51,217,delivered,6,5,1.2,
250,0,A_reference,132,34,delivered,3,3,1.0,
250,0,A_reference,5,96,delivered,3,3,1.0,
250,0,A_reference,41,30,delivered,3,2,1.5,
250,0,B_mds_only,117,240,delivered,5,4,1.25,0.6
250,0,B_mds_only,171,225,delivered,5,5,1.0,1.0
250,0,B_mds_only,244,183,delivered,3,2,1.5,0.6666666666666666
250,0,B_mds_only,178,67,delivered,4,3,1.3333333333333333,1.0
250,0,B_mds_only,32,227,delivered,6,5,1.2,0.6666666666666666
